text,label
@user @user isso sim é rola !,1
Eu tenho que explicar a @user  porque eu gastei 300 reais em coisas de beleza e acessórios sem parecer uma consumista fdp sem dinheiro. https://t.co/5y3u9RF8A7,1
"glenn passa muito bem, né? david miranda é muito gostoso pqp com todo respeito ao gleen",1
alguma dama para me fazer um carinho hj ?,0
fui stalkear uma guria e acabei chegando na minha turma de design de moda de 2014 vei q mundo pequeno vtnc,1
puto e bolado 😡,1
@user vsf ent,1
@user fica em casa então caraio,1
"caralho, isso eh tão eu",1
"poste uma foto de vc, 1 utt e 2 dois bias e deixem seus mutuals dizerem com quem eles shippam mais vc

vou colocar meus 3 bias wreckers kk

eu apago depois https://t.co/HUxmaLP7UI",0
pqp eu amo vôlei demais vamos pra tóquio porra,1
passando calor aqui na loja,0
tentaram me passar trote mas falharam mm,0
"Nunca podemos deixar esse vídeo da heyoon e da sina dançando bola rebola e fazendo quadradinho cair no esquecimento 
#MPN #NowUnited https://t.co/B5tSoa4mDo",0
gosta de rua kkk https://t.co/zpu5bh47tm,0
melhor casa e se vc não concorda enfia no cu sua opinião,1
tô puta que ontem meu irmão foi pra tuiuti e viviane araújo estava lá tbm 😏,0
caralho minha mãe ferra comigo,0
"@user putinha sim, mal amada jamais",1
"esses programas musicais chineses só tem homem lindo e talentoso, pqp",0
pqp todo trab n faz porra nenhuma e fica apressando odeio fazer trab cm gnt mimada sem noção do crl,1
"sei q nao deveria, mas eu tô rindo muito kkkkkkkkkkkkkkk pqp",0
"rt @user pedido de impeachment de cidadã contra gilmar chega ao senado com 2,1 milhões de assinaturas https://t.co/yun1gxvcsq",0
"pqp, nem fala..😪",1
passei mal para um cacete de madrugada e nao estou preparada fisica e psicologicamente pra sentir colica menstrual no no no nooooo,1
@user @user claro tinhas dúvidas 😝,0
"Esse m锚s tem m煤sica nova, segunda do EP, o nome dessa 茅 ""Voc锚"".  Por enquanto aproveita e clica l谩 no link da bio e da uma olhada no clipe com a primeira m煤sica do projeto. Obrigado a todos. Muito amor.鉂�",0
algum amiguinho que p usar cmg?,0
"carai de siso, aguentando nem comer, febre, dor aff",1
se tem câmera no fundo de casa to fudido,0
"@user É Mineirinho por causa da cidade de origem chamada Ubá MG, no início da década de 1940. Seis anos após, a fábrica se mudou para o estado do Rio de Janeiro, em Niterói. Em 1978, teve um aumento significativo na linha de produção e foi construído um parque industrial em São Gonçalo",0
"rt @user república de merda que nunca deu certo, meu brasil de verdade é o império, e não essa merda. https://t.co/0jdty1gigu",1
"@user A melhor casa com toda sinceridade. Grifinoria não dá, superestimada a realidade né? Pq Hermione que carregou essa casa pq se fosse depender de Harry...

Então quem nasceu para ser Grifinoria, nunca será Sonserina (e outras casas também pq não são de todo mal né só Griff mesmo) https://t.co/gCVo1CyyiE",0
@user todo mundo que tá falando mal da beyoncé vai tomar no cu ela é uma lenda e ponto final https://t.co/wjuxtdazje,1
rt @user pau no cu do lucas q me fez viciar naquele funk estranho dele kkkkk ooooo meu bom,1
- tudo pra mim pqp eu estou completamente realizada aaaaaaaaaakanwwkdmqksmw,0
"vizinho chato da porra! era o que estava falando, agora eu me mudo!",1
"rt @user chupar esse picolé = r$8,00
chupar meu pau = diamante no free fire https://t.co/sw5tobaxjk",1
ai meu cu  #mpn #nowunited #uniters,1
"Eu num entendo isso, qnd eu ponho a porra do bgl de perguntas no dix quase ngm pergunta, dai é só eu por no perfil aberto que brota varias pessoas.. mo viagem",0
"não é por nada mas a fazenda espigão é estranha, um dos lugare que eu mais amo pqp. todas as raves da crew lá é surreal",1
alguém vai comigo no show do rio de novembroooo,0
@user perfeito,0
@user eu ia catar lixo na praia o dia inteiro kkk,0
"caralho, fui dormir pensando no menino que eu gosto e sonhei com o o ex caralho que merda",1
rt @user jogar bola na praia bêbadas em guarapari @user @user @user @user https://t.co/9g7hsj9fw8,0
"Se temos solução constitucional, o exército está ao lado do povo e o povo quer mudanças, o que está faltando? #STFVergonhaNacional. https://t.co/aUla7LRTVx",0
@user puta q pariu,0
"rt @user aonde tem progresso, tem olho gordo ! oque o diabo tira, deus dá em dobro.🎭🙏🏻☯️",0
"é muito vacilo, falsidade, mimimi, cobrança e má fé. por isso que cada vez mais eu considero menos pessoas.",1
@user @user representa seu povo. burro e despreparado.,1
"rt @user como eu nunca vi esse vídeo na minha vida, pqp jongdae bêbado é o auge da fofura 

https://t.co/8pmzbfjxor",1
tá no cio caralho,1
"rt @user fato...""corpo bonito é aquele que tem uma mulher feliz dentro dele"". https://t.co/johum2tyho",0
"preguica da porra q eu to
n to estudando
to acordando 13 hrs todo dia
nem lavo o rosto nem nada e fico mofando o dia todo CHEGA da volta as aulas",0
rt @user estou tão gorda jasus,0
bugaram de awm em mim!!!! awm viado!!!!!!vtnc kkkkkkkkkkkkkkkkkkk,1
"a mina começou a falar cmg hoje pela primeira vez na vida, e ainda quer exigir que eu responda ela na mesma hora, vai si fuder, mal respondo a minha mãe no wpp kkk",1
"pronto, agora acaba o jogo a cabeça com um puto galo e latejando 🙄",0
@user pq a boca foi feita pra falar .#stfvergonhanacional,1
"@user tenho vontade, falta dinheiro kkkk",0
"Certo q a mulher tem que ser independente e somar com o cara mas não pagar uma marquinha de 60 conto pra gata? Porra, na minha época era Mega Hair, vocês sabem quanto é uma porra de um cabelo daquele? Vocês tão é no lucro",1
"""Deus conhece a sua estrutura, sabe o que está fazendo, mesmo que seja difícil, não pare ele está vendo..."" Vale a pena cada esforço, tudo feito c muito amor e carinho. Só Deus sabe o quanto é difícil, mas a cada dia ele me dá forças e me SUSTENTA! Aguardo vocês amanha 🍰🥰 https://t.co/pXU6xCZKDt",0
"@user coe mano, maior curiosidade papo reto 😂",0
"rt @user até quando o brasil vai aceitar a ditadura dos ministros do stf?
#stfvergonhanacional https://t.co/pi9cvt6evu",0
"“Quero dizer, olhe ao seu redor. Não podemos deixar as coisas ruins definirem quem somos, para que nós possamos definir quem somos” https://t.co/jDyeREIjfF",0
@user @user vc amiga,0
@user @user fala pra ela vc que é mineiro pai,0
"essas merdas nn podem vê uma mulher que quer fazer esses tipos de coisas,prr tem q ter respeito💁😡",0
"@user amigo, eu não sou ninguém no dia de hoje pqp",1
"Deus tá mandando um sinal que não é pra mim andar de bike pq pqp bicho, o pneu da minha bike furou, aí arrumei e furou dnv, ae comecei a usar a do meu pai e a merda do pneu furou também, EU TO SEM BIKEEEEE, COMO VOU FAZER AS COISAS SEM BIKE, INFERNOOO",0
tive nenhum tempo de compra uma roupa pqp,0
"véi que escroto, se fosse comigo ia ganhar um chute nas bolas",1
@user essa música é típica de quem vai comer no prato que cospiu kkkkkkkkkkkk,0
@user cafeína é uma droga https://t.co/rcrasct6k7,0
@user @user @user @user @user @user @user @user Eu posso te ajudar nisso. Inclusive queria conversar com vc sobre isso,0
"@user @user Contra fatos não há argumentos, Jair.

É assim que você está ficando conhecido na Europa. 

 https://t.co/4jyJCgbe6k",0
rt @user fdp fui la ver se tinhas mesmo uma ventoinha https://t.co/j4jmtygr00,1
"[3/8 04:13] : dei pro ex kkkk
[3/8 12:10] luma 🌻: amiga
[3/8 12:10] luma 🌻: assim não dá pra te defender
[3/8 12:13] : foi pra matar a saudade do pau gostoso",1
@user vc é perfeita porra,1
rt @user as vezes eu quero que o sul se separe do resto do país mesmo https://t.co/gbi4rvisjw,0
rt @user e o fdp é lindo... kkkkkk,1
vou conseguir beijar esse hetero esse ano ainda! to apaixonado porra,1
"@user A esquerda nunca quis dividir o Brasil ?
ACUSE O BOLSONARO DO QUE VC FAZ E CHAME O BOLSONARO DO QUE VC É ! https://t.co/nwKWVjGkqy",0
"aí eu trouxe duas caixas de alfajor, ela e o nojento do namorado comeram TUDO, sem me perguntar se eu queria ou deixar algum pra mim, sorte q eu trouxe uma caixa a mais e escondi",1
"@user @user @user Agora ta na rua!
Quem chamou o Inpe de mentiroso nao foi o presidente...foram os dados via satelites da nasa e os proprios criterios fajutos do orgão que colocava alertas de desmatamentos em regiões permitidas como desmatamento geral",0
@user malditos filhos da puta,1
"[3/8 12:56] caslu 😝: como é não poder me chamar de feio?

minha meta eh ser q nem o lucas",0
caralho q linda mano,0
"sapatella n茫o para de me mandar e-mail com promo莽玫es entendam
eu 
n茫o
tenho
um
puto",0
o porra kkkkkkkkkkkkkkkk,0
caralho véi kkkkkkkkk,0
meu deus como eu me diverti ontem vsf,1
@user tem q sentir msm só sou um pobre boiola indefeso,0
rt @user ainda bem que eu sou feia https://t.co/tifgpjxnxe,0
gerou pra caralho,1
"migos, se puderem ajudar nessa rápida pesquisa, eu ficaria bem happy. (serio, são 3 perguntas) obrigado.  https://t.co/fqhv9tgrd8",0
"@user povo chato credo, o tweet de faeden eh público, ela poderia comentar oq ela quisesse pq o tt eh dela
""ai me da block eu imploro""
nega, vai la e da block vc, sla silencia, se não gosta ignora
fillie shipper eh chato, falo isso pq eu sou, mas vcs são bem mais credo",0
"@user @user @user A PF disse que N脙O H脕 no momento nenhuma investiga莽茫o mas n茫o disse nada que NUNCA HOUVE! Qdo perguntaram j谩 tinha acabado uai 馃ぃ馃ぃ馃ぃ馃ぃ馃ぃ馃ぃ馃ぃ
T谩 nervosa, pq???? https://t.co/D09W2DOJMM",0
cara de dançarino de axé da porra,1
"O canal dela baseia-se no facto de ela viver numa carrinha totalmente decorada, mas não fez um único vídeo a mostrar o processo de decoração. Nada anormal...",0
caralho eu to chapado ou o maluco é o det de uma dimensão alternativa,0
chocada com a cara de pau de algumas pessoas https://t.co/kib0qkravz,1
"é stan de quais grupos? — além do exo e mx, acho que só twice, mas escuto muitos, só n acompanho/conheço membros etc https://t.co/m8caoeutyc",0
"Por mais que eu apelido ""SEOBABY"" tenha sido eternizado, é apenas uma forma carinhosa de nos referirmos a essa MULHER forte e batalhadora. É CLARO, TALENTOSÍSSIMA. Seu sonho era influenciar uma geração de garotas e depois, dedicar-se à atuação. E você conseguiu

#OurMaknaeSEOHYUN https://t.co/GWbRQSWr3r",0
"eu estava uma diaba ontem, pqp😤",0
era so alguém agitando algo pra hoje.,0
A$AP solto. E sem ter que agradecer o Trump. Procuradoria sueca viu com maus olhos a intromissão do Trump. Processo correu normalmente dentro das leis suecas. Tudo resolvido.,0
"rt @user quero s贸 o que 茅 meu , n茫o invejo nada de ningu茅m ......",0
rt @user quem curte pau mole?! https://t.co/1kkmybaxh0,1
trabalhando na frente do pet eu vejo cada tipo de bicho tipo agora vi um cara carregando um poodle no colo e ela parecia um bezerro de tão grande,0
@user série boa demais me racho com essa porra vms exalta-la juntos mano,0
@user @user dois corno que tem mais que se foder,1
"nunca vi pessoa pra se foder mais com amizade que eu, puta merda, gente falsa da porra.",0
me tirem do tédio povinho😴 https://t.co/bespb8kbsr,0
"Só pessoas de baixo nível. Damares, Ernesto Araújo, Ricardo Salles, Marcos Pontes, Abraham Weintraub, general Augusto Heleno, Eduardo Bolsonaro e o chefe de todos: Jair Bolsonaro. PQP. https://t.co/QwOW8LrSgg",1
"@user 
tic. tac.
a sua hora tá chegando desgraçado!!!!",1
"Eu e o criador da Rede Social ORKUT, Mr. Orkut Büyükkökten. Passamos 3 dias em Búzios com toda a equipe estrangeira e brasileira. Foi convidada a estar com eles por ter usado o Orkut para meu ativismo contra o abuso e exploração sexual infantil e... https://t.co/NVqOlBQQQm",0
viado com seus cachos hidratados não quer guerra com ninguém ! https://t.co/omrtdgzak6,1
"Autorizado por João Doria, o Estado de São Paulo agora tem um dia exclusivo em que as pessoas poderão ORAR PELOS POLÍTICOS.

Um dos argumentos é uma passagem BÍBLICA.
Será que DORIA e o PSDB sabem que auxiliar os MAIS POBRES também é Bíblico?

SÃO JOÃO DORIA, satinho do pau oco!",1
"mano, a pessoa tem uma capacidade de duvidar e desconfiar de tudo que eu falo puta que pariu velho",1
"cheguei a conclusão que sou chata pra caralho, ninguém gosta de ficar perto de mim

não julgo acredito que eles estão certos...",1
"maltinha é abrirem o link e meter like, bora bora bora",0
rt @user eu e kellen cantando putinha aborteira nunca fez tanto sentido...,0
foi a ana que me incentivou,0
tô com medo de fica feio pra bosta mas se fodaaaa,0
gente eu sou muito apaixonada por vanessa puta que pariu não posso ver uma fotinha que me derreto toda,0
"vai tomar no cú , isso aqui é brasil!!! 💚🇧🇷💛",1
pago.muito pau sim,1
"@user vc é muito otário. prendeu não foi porque divulgou, mas sim pela invasão. 
#prendetodomundo",1
@user me considera a tua puta né?,1
rt @user ah vai tomar no cu,1
vou fazer um pau na coxa pra mim beber mais tardee,1
a fdp até deu risada vendo meus peitos,1
#NasRuasContraSTF  PRESSÃO!!! Presidente do Senado 👁👁.        #STFVergonhaNacional                          BASSSSTA 😡 B_SSSSTA 💩 https://t.co/eyGIWhUAox,0
olha que coisa mais linda do mundo 😭,0
rt @user @user aí estragando o passinho do meu país recife pqp sulista não conte comigo pra nada  https://t.co/1dpqedjglx,1
rt @user vai responder as outras 75 conversas e para de cobrar atenção caralho https://t.co/g6qy9om78x,1
meu rolê ontem teria sido perfeito se não tivesse terminado comigo chegando em casa e achado mais um gato meu atropelado na porra da rua,0
"até um dia atrás tinha @user falando que o jk só saiu com os amigos dele pra provocar o te, essa semana estavam falando da live de vhope que elas invadiram duas vezes, com comentários só do shipp delas, o que já é desrespeitoso pra caralho. não tem moral nenhuma pra falar sobre isso",0
@user ser deus quiser vou embora desse lugar na segunda feira,0
@user hj que eu vou tu n vens pqp,0
"ainda bem que fechamos com a fox, assim não tenho que dar dinheiro pra caralho pra ir pra porto",0
"@user Pra falar que preferia passaria fome é pq no mínimo nunca chegou perto disso kkk o cúmulo falar que uma pessoa não é digna ou sem perspectiva de vida por fazer tal coisa, sem saber os reais motivos dela tá ali naquilo.",0
"@user @user @user @user @user @user @user Agora é ofensivo? quando tu usou ""cis"" oiu ""marica"" não era? 
É só ofensivo o que te convém?",1
@user @user carai kkk,0
ou é só meu ou é dos outros. dividir não rola,0
"eu tenho problema que eu amo fazer isso em todo cabelo que eu vejo, principalmente qnd ta na regua pqp",0
@user sai que você é feio caio,1
"lembrei das aulas de filosofia
professor explicando algum conceito: a
eu puxando briga: cade tua voz, fulano?",0
"""Eu não sei por que essa gente tem tanto amor por ONGs estrangeiras. O Estado está aparelhado. Não temos preconceito contra ninguém, mas temos uma profunda repulsa por quem não é brasileiro”. (Jair Bolsonaro, na sua passagem rápida e conflituosa pela Bahia)",1
@user igual eu só q mulherões,0
 me deu varios conselhos bons gratidão por ele c qm ele e porra loka ms quando e pra da papo ele e mt maneiro.. 💙💙,1
"@user bicha, se esse cara não  se ligar pra essas diretas é  muito lerdo mesmo. até  eu botaria",1
porra eh foda sabe,0
@user eu subo os dois no tapa poxa obg mo,0
Eu tentando explicar a @user  porque eu gastei 300 reais em coisas de beleza e acessórios sem parecer uma consumista fdp sem dinheiro. https://t.co/wSZ7VFh9Re,0
eu to tão puta,0
rt @user porraaaaa é por isso que as pessoas se matam!!!! deixa a garota usar o que ela quiser caralhooooo https://t.co/arggmtuvyh,1
precisa melhorar o passe! pqp!  #voleinosportv,1
minha mae fala muito kkkkkkkk pqp,1
as defensora de iphone nas replys amg forças kkkkkkkkkk,0
@user minha namorada é perfeita pqp,0
"@user @user @user linda mesmo, fabi!
a típica mulher brasileira: cheia de curvas! lembrei na hora da abertura!",0
caralho que gay chato!,1
"2° antes que me venham com piadas e/ou perguntas idiotas, já adianto que NÃO SERÁ DE GRAÇA... cobrarei um valor simbólico referente ao material que é totalmente descartável",0
mano como eu odeio música latina vai tomar no cu,1
gente eu tô achando que não sai nada do ioi esse ano porque já deu tempo de acabar as promoções da chungha e nada sabe,0
"[2/8 14:25] Eduarda.: Sou um beb锚 馃槴
[2/8 14:25] Melhor Irm茫o 馃馃懌: Beb锚 monstro
[2/8 14:25] Melhor Irm茫o 馃馃懌: T谩 seiiii

Olha como ele fala d mim kkkkk",0
"eu odeio a minha mania de ficar pensando em algo e não conseguir tirar aquilo da mente nunca, é uma tortura",0
rt @user to ficando preocupada desde ontem q ele nn me responde e n atende aaaaaa cadê esse desgraçado,1
@user senhor quer dizer miseros rodapés de noticias.,0
@user lixo,1
"mano só eu q acho os irmãos scribel uns gato ? pqp, eu pegava qualquer uma dos dois kkk",1
consideração é aquilo que as pessoas enfia no cu ?,1
"melão é mão de vaca, credo :c #cblol",0
"@user Sim???? Não é o perfil deles, n tem necessidade disso quando eles claramente tem tranquilidade e público pra vir pra show solo",0
então quem desempata? https://t.co/xlfcorerpq,0
"rt @user pra mim é o casal mais lindo, icônico e bem desenvolvido do mcu e nada mais importa além da minha opinião  https://t.co/q…",0
"rt @user hoje eu morro de estresse, tenho certeza",0
"Para um ataque desnecessário, um editorial necessário 
👉Globo repudia em nota ataques de Bolsonaro a Miriam Leitão | Jornal Nacional | G1 https://t.co/6vEwMsBY5b",0
@user @user @user @user e minha opinião é que eles fazem festa em premiação rs surtou pq? hm,0
eu to puta com esse jogo do brasil,1
"ficou na minha frente e tals. mas aí a bicha ficou lá de longe falando pro amigo dela sair de perto de mim, que eu era nojenta e num sei oq... eu fiquei de boa, não ia arrumar confusão na porta do meu trabalho. matheus chamou o uber e entramos, quando saímos a bicha gritou",1
rt @user nesse twitter s贸 n茫o descobre as coisas quem n茫o quer,0
"@user porra, como foi que eu esqueci do fat thor?",1
"vai se foder, 4 derrotas seguidas",1
rt @user hoje tem💃💃🍻 https://t.co/pvkmbcseat,0
"gente de vdd, fiz minha lição de português e nem eu sei oq eu escrevi, pqp mto chato português vtmnc",1
enfia essa caixa de som no seu cu e gira caralhoooo,1
manoooo assisti arrepiada pqp,1
QUATRO PAÍSES EUROPEUS JÁ QUEREM INVESTIR NO NORDESTE: João Azevedo se reúne com governadores da região e com embaixador francês nesta segunda-feira - Polêmica Paraíba https://t.co/pC0vPgp0bM,0
pqp lorenne..🙄,0
@user o cu assassino https://t.co/ttsgvrbc64,1
daylla ta puta dms com o jogo kkkkkk,0
eu enfio a noçao no cu as vezes,1
"“EU SOU FORMADO EM LETRAS, HISTÓRIA E INGLÊS(E VOU COLOCAR MEU CURRÍCULO DE ESPANHOL NO IFMA) . JÁ DEI AULA EM BARREIRINHAS, CHAPADINHA, SANTA QUITEIRA E O CARALHO A QUATRO.
JA FUI PROFESSOR DE RECURSOS HUMANOS E ESSA FOI A ÚNICA TURMA A FALAR QUE NÃO SEI DA AULA.”....",1
"rt @user vou estar sorteando um seguidor pra me doar pau e cama, o vinho eu levo rs",1
"@user @user Bingo.!

Eh certeza que sim. Teve um ai q disse claramente. Pare!

Temos q filtrar. Maximo um print e comentar do lado de ca.

Paz e bem. ☮️",0
"Gamemashup trazendo um pouco de humor pro seu sabado. Vejam.

Se curtir compartilha ai com a galera, é curtinho e não custa nada.",0
caralho maluco,0
"essa tarde da #encantofmta muuuuuito boa!
baixe nosso app na google play e leve a sua rádio favorita para qualquer lugar do mundo!",0
rt @user aqui é galo porra  #todoscomricardooliveira,1
"rt @user @user professor olavo, agradeço o apoio e as palavras. todo esse movimento começou com o senhor. grande abraço",0
"hoje é dia da chatinha,será que vai rola o almoço 🤣😍 @user",1
"@user um jardim e lixeiras seletivas de lixo, plisss",0
@user @user vsf seu porra to esperando vc falar ainda,1
putz e eu nao tenho uma foto vai tomar no cu jefferson,1
"N脙O VALE MENTIR!

1. 14
2. N sei
3. Queria
4. V
5. N tem
6. Sim
7. 脡 oq eu + recebo
8. J谩 
9. Slakk
10. Boa pergunta
11. Vrs
12. Eu n sei o nome dela
13. N脙O 
14. N茫o 

Responde com um emoji que eu te mando.",0
"quando eu paro e vejo o quão idiota eu sou, pqp",0
caralho manè olha esse mlk cara kk,1
porra e agr japão brasil nunca critiquei//,1
rt @user caralho macaco o que tu tá pensando da vida irmão https://t.co/kcwthdkbnl,1
me jogou no lixo e os amiguinhos reciclou 🤤🎶,0
rt @user amo assistir jogo de vôlei pqp,0
@user mano eu pensei demais nisso vamo? aaaaaa,0
tempo feio da porra,0
"@user o nome da veia é ana, aí fala santana pq provavelmente é mineiro... 
o padre chama ela de vó, eu tô de boa kkkkkk",1
rt @user como é que faz quando nenhum dos dois é flor que se cheira,0
eu so quero q ela vai toma no cu,1
n entendo essa gente ai q n gosta do sul nem de sulista mas t谩 smp conversando cm algu茅m daqui,0
"na moral,eu sou muito gata at茅 eu me pegaria,mas essa oportunidade eu deixo pra vc bb brooota",0
"rt @user olhaaa quem apareceu! que lindo!

paulinha na fab https://t.co/b1ovtbhkys",0
eu falo brincando e a clara pensa que tô falando sério kkkkkkkkk bichinha,1
@user foda-se caralho tem que cortar mesmo!!!?,0
gente sabem algum app pra fazer figurinhas pra iphone???,0
"[3/8 12:12] vitória brandão: aí amor o auge meu contato ""princesa"" HEUEHEUHEUEH
[3/8 12:12] piece of sky 💜: vou colocar
[3/8 12:12] piece of sky 💜: idiota do caralho

bom dia KKKKKKKKKKKKKK",1
"rt @user ainda que eu ande pelo vale da sombra e da morte, não temerei mal algum, porque tu estás comigo!🙏🏻🙌🏻",0
caralho acordei agr tava muito cansado,0
"@user o amor da minha vida todinha
pqp eu te amo",0
"@user gastei horrores com essa turnê, tu acha que não vou fazer stories? vou pra caralho kkkkkkk",1
e essa vontade de ir que não passa!!!! 😖,0
@user @user você é burro?https://t.co/b3hvqvtgu1,1
mano isso e desesperador mano não é possivel que tenha alguem tão ssm coração assi. velho,0
"@user kkk poxa nega, me humilha mais

mas na minha cidade as vezes mulher é vip ou eu divulgo então acabo nem pagando pra entrar mas essa é em sp",0
rt @user os venenos nosso de cada dia. https://t.co/39koib3m5i,0
eu prefiro passar vontade do que ter gado idiota na minha vida,0
"rt @user ótima sexta
  adquira seu pacote de fotos e vídeos
   bora ""rt""
olha o popozaoooooooooo💋 https://t.co/lskeywlqhc",1
"se fosse mulher feia tava tudo certo, mulher bonita mexe com meu coração.",1
bola fora nesse caralho,1
@user cadê as fotos que eu não vi?,0
"bk, e isso ja aconteceu demais",0
mano eu não quero ir pra aula segunda-feira puta merda,1
rt @user t谩 na hora do bolsonaro recompensar o apoio entusiasmado de uma importante categoria e colocar um marombeiro na dire莽茫o do inpe,0
vsf eu comecei primeiro porr,1
@user bro ficou mo bonito pqp tá mt lindo msm,0
"@user agora que vocês compraram a @user podem devolver o acesso à minha conta? Alguém entrou lá, alterou o email e nunca mais consegui entrar. O atendimento telefônico é um lixo, a segurança idem. Trabalho os espera. Aguardo!",1
@user machista fudido,1
"@user @user @user @user autoridades religiosas da minha igreja católica apostólica romana, esse VAGABUNDO desse ""suposto padre"" está denegrindo nossa fé, dividindo nossa sociedade e atacando um governo, rescem eleito e que respeita as religiões.",1
rt @user o nhéee no final = tudo https://t.co/gy4gltufd6,0
rt @user nao é porque você detesta stalin que é obrigado a gostar de hitler,0
@user kkkkkkkkkk fdp né,0
"pqp, sair do block só agora hariany na vamos",0
sem novo essa merda velho pqp https://t.co/nwnty30cjf,0
"o espirro mais alto que uma magnum.44 eu herdei do meu pai
filho da puta acabou de me dar um baita susto :')",1
"vc n é feio, vc só não usa os produtos jequiti",0
@user pqp tá de sacanagem,1
"@user the 100,st ou got pqp séries lendárias",0
@user @user gente essa coreo já mostra o poder que o seventeen tem,0
"vei a sina curtindo meu comentário com o inglês todo fudido
eu n lembrava como falar vista kkkkkkkkkkkkk meu pai q vergonha https://t.co/3WwZSbbZmw",1
